persona,policy,n,mean,p75,p90,max,persona_recommended_threshold,dropout_at_persona_threshold
burned_out_resident,poc_0704_naive_a3,25,17.78,19.7,21.5,25.599999999999998,20.7,0.2
burned_out_resident,poc_0704_oracle_a3,25,11.719999999999999,13.099999999999998,14.5,18.4,20.7,0.0
burned_out_resident,poc_0704_user_state_oracle_a3,25,19.756,22.0,25.1,25.6,20.7,0.4
burned_out_resident,poc_0705_react_control_v3,25,15.1,17.2,20.0,24.400000000000002,20.7,0.04
eager_resident,poc_0704_naive_a3,25,16.612,17.7,21.0,21.6,19.2,0.24
eager_resident,poc_0704_oracle_a3,25,11.68,13.900000000000002,14.5,15.900000000000002,19.2,0.0
eager_resident,poc_0704_user_state_oracle_a3,25,18.36,19.599999999999998,22.4,23.3,19.2,0.32
eager_resident,poc_0705_react_control_v3,25,14.072,15.600000000000001,17.599999999999998,19.4,19.2,0.08
exhausted_attending,poc_0704_naive_a3,25,18.908,21.7,26.799999999999997,27.8,25.2,0.2
exhausted_attending,poc_0704_oracle_a3,25,15.292,18.0,27.5,28.0,25.2,0.16
exhausted_attending,poc_0704_user_state_oracle_a3,25,20.076,21.6,26.299999999999997,27.4,25.2,0.24
exhausted_attending,poc_0705_react_control_v3,25,15.348,17.3,22.0,27.099999999999998,25.2,0.04
veteran_attending,poc_0704_naive_a3,25,19.628,22.900000000000002,25.099999999999998,27.099999999999998,23.1,0.24
veteran_attending,poc_0704_oracle_a3,25,14.363999999999999,17.0,24.7,25.8,23.1,0.12
veteran_attending,poc_0704_user_state_oracle_a3,25,19.195999999999998,20.999999999999996,25.5,26.5,23.1,0.16
veteran_attending,poc_0705_react_control_v3,25,15.328,16.7,23.1,25.7,23.1,0.12
