path,case_id,turn_id,control,correct_option,medical_belief_mapped,medical_belief_aligned,raw_leak,v3_leak
outputs/grpo_v3/grpo/rollouts/0022_step30_g0.jsonl,0022,0,EXTEND,B,A,0,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step30_g1.jsonl,0022,0,EXTEND,B,A,0,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step30_g2.jsonl,0022,0,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step30_g3.jsonl,0022,0,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step30_g4.jsonl,0022,0,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step30_g5.jsonl,0022,0,EXTEND,B,A,0,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step33_g0.jsonl,0022,0,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step33_g0.jsonl,0022,1,RECOMMEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step33_g1.jsonl,0022,0,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step33_g2.jsonl,0022,0,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step33_g3.jsonl,0022,0,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step33_g4.jsonl,0022,0,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step33_g4.jsonl,0022,1,RECOMMEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step33_g5.jsonl,0022,0,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g0.jsonl,0022,0,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g0.jsonl,0022,1,RECOMMEND,B,,,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g0.jsonl,0022,2,RECOMMEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g1.jsonl,0022,0,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g1.jsonl,0022,1,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g1.jsonl,0022,2,RECOMMEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g2.jsonl,0022,0,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g2.jsonl,0022,1,RECOMMEND,B,B,1,1.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g2.jsonl,0022,2,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g2.jsonl,0022,3,RECOMMEND,B,B,1,1.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g3.jsonl,0022,0,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g3.jsonl,0022,1,RECOMMEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g3.jsonl,0022,2,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g3.jsonl,0022,3,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g4.jsonl,0022,0,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g4.jsonl,0022,1,RECOMMEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g4.jsonl,0022,2,RECOMMEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g5.jsonl,0022,0,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g5.jsonl,0022,1,RECOMMEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g5.jsonl,0022,2,RECOMMEND,B,B,1,1.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g5.jsonl,0022,3,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g5.jsonl,0022,4,EXTEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0022_step61_g5.jsonl,0022,5,RECOMMEND,B,B,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0023_step29_g0.jsonl,0023,0,EXTEND,D,D,1,0.0,0.0
outputs/grpo_v3/grpo/rollouts/0023_step29_g0.jsonl,0023,1,RECOMMEND,D,D,1,0.0,0.0
